33.21735,-86.78869,301.7,0.5,0.7,4/22/17,636,N,nominal,1.0NRT,287.9,1.4,NUnknown City,Alabama,United States of America
33.23536,-87.51005,304.8,0.6,0.7,4/22/17,636,N,nominal,1.0NRT,288.5,2.3,NTuscaloosa,Alabama,United States of America
33.10099,-86.80122,304.3,0.5,0.7,4/22/17,636,N,nominal,1.0NRT,288.3,1.5,NUnknown City,Alabama,United States of America
32.96679,-84.9315,296.8,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,285.7,0.4,NUnknown City,Georgia,United States of America
32.86643,-85.3979,298.8,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,286.4,0.4,NUnknown City,Alabama,United States of America
32.56512,-83.59991,304.8,0.3,0.6,4/22/17,636,N,nominal,1.0NRT,289,0.7,NUnknown City,Georgia,United States of America
32.56529,-83.60082,300,0.3,0.6,4/22/17,636,N,nominal,1.0NRT,288.7,1.1,NUnknown City,Georgia,United States of America
32.41385,-83.05116,300.8,0.3,0.6,4/22/17,636,N,nominal,1.0NRT,288.1,0.3,NUnknown City,Georgia,United States of America
32.07357,-85.76722,303.7,0.5,0.7,4/22/17,636,N,nominal,1.0NRT,287.3,1,NUnknown City,Alabama,United States of America
32.07564,-85.76354,303.5,0.5,0.7,4/22/17,636,N,nominal,1.0NRT,287.2,1.2,NUnknown City,Alabama,United States of America
31.9034,-85.62106,312.9,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,286.6,1.2,NUnknown City,Alabama,United States of America
31.52429,-84.40103,303.6,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,286.8,0.5,NUnknown City,Georgia,United States of America
31.38189,-84.11452,297.4,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,286.8,0.4,NUnknown City,Georgia,United States of America
31.38161,-84.11064,300.9,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,287.4,0.4,NUnknown City,Georgia,United States of America
31.23059,-83.72076,298.1,0.3,0.6,4/22/17,636,N,nominal,1.0NRT,288.1,0.2,NUnknown City,Georgia,United States of America
31.15097,-84.20225,306.2,0.4,0.6,4/22/17,636,N,nominal,1.0NRT,286.9,0.7,NUnknown City,Georgia,United States of America
31.15466,-87.98228,299.8,0.6,0.7,4/22/17,636,N,nominal,1.0NRT,288.3,1.7,NUnknown City,Alabama,United States of America
31.14831,-87.9893,310.1,0.6,0.7,4/22/17,636,N,nominal,1.0NRT,288.1,1.7,NUnknown City,Alabama,United States of America
31.157,-87.98167,298.6,0.6,0.7,4/22/17,636,N,nominal,1.0NRT,288.2,2.3,NUnknown City,Alabama,United States of America
31.15069,-87.98866,311.1,0.6,0.7,4/22/17,636,N,nominal,1.0NRT,288.1,2.9,NUnknown City,Alabama,United States of America
30.66493,-82.46151,320.7,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.7,7.7,NUnknown City,Georgia,United States of America
30.66442,-82.45554,339.4,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,291.4,7.7,NUnknown City,Georgia,United States of America
30.6639,-82.44954,299.1,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,288.7,0.7,NUnknown City,Georgia,United States of America
30.65911,-82.45016,300.8,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.1,1.1,NUnknown City,Georgia,United States of America
30.65433,-82.45078,308.7,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.4,1.1,NUnknown City,Georgia,United States of America
30.65381,-82.44477,303.3,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,288.6,1.1,NUnknown City,Georgia,United States of America
30.66522,-82.45516,339.2,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,291.4,8.1,NUnknown City,Georgia,United States of America
30.66577,-82.46113,318.8,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.6,7,NUnknown City,Georgia,United States of America
30.66043,-82.45576,310.3,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.1,1.2,NUnknown City,Georgia,United States of America
30.65988,-82.44979,301.2,0.6,0.5,4/22/17,636,N,nominal,1.0NRT,289.1,1.2,NUnknown City,Georgia,United States of America
